Filename,Level,CorrectResponse,Original Base Filename,Original Comparison Filename
Experiment_level1_AAAB.wav,1,2,C:\Users\Melissa\Documents\PyPEST\PyPEST\experiment\audio\bapa-11k\bp00-11.wav,C:\Users\Melissa\Documents\PyPEST\PyPEST\experiment\audio\bapa-11k\bp00-11.wav
Experiment_level1_ABAA.wav,1,1,C:\Users\Melissa\Documents\PyPEST\PyPEST\experiment\audio\bapa-11k\bp00-11.wav,C:\Users\Melissa\Documents\PyPEST\PyPEST\experiment\audio\bapa-11k\bp00-11.wav
Experiment_level2_AAAB.wav,2,2,C:\Users\Melissa\Documents\PyPEST\PyPEST\experiment\audio\bapa-11k\bp00-11.wav,C:\Users\Melissa\Documents\PyPEST\PyPEST\experiment\audio\bapa-11k\bp10-11.wav
Experiment_level2_ABAA.wav,2,1,C:\Users\Melissa\Documents\PyPEST\PyPEST\experiment\audio\bapa-11k\bp00-11.wav,C:\Users\Melissa\Documents\PyPEST\PyPEST\experiment\audio\bapa-11k\bp10-11.wav
Experiment_level3_AAAB.wav,3,2,C:\Users\Melissa\Documents\PyPEST\PyPEST\experiment\audio\bapa-11k\bp00-11.wav,C:\Users\Melissa\Documents\PyPEST\PyPEST\experiment\audio\bapa-11k\bp20-11.wav
Experiment_level3_ABAA.wav,3,1,C:\Users\Melissa\Documents\PyPEST\PyPEST\experiment\audio\bapa-11k\bp00-11.wav,C:\Users\Melissa\Documents\PyPEST\PyPEST\experiment\audio\bapa-11k\bp20-11.wav
Experiment_level4_AAAB.wav,4,2,C:\Users\Melissa\Documents\PyPEST\PyPEST\experiment\audio\bapa-11k\bp00-11.wav,C:\Users\Melissa\Documents\PyPEST\PyPEST\experiment\audio\bapa-11k\bp30-11.wav
Experiment_level4_ABAA.wav,4,1,C:\Users\Melissa\Documents\PyPEST\PyPEST\experiment\audio\bapa-11k\bp00-11.wav,C:\Users\Melissa\Documents\PyPEST\PyPEST\experiment\audio\bapa-11k\bp30-11.wav
Experiment_level5_AAAB.wav,5,2,C:\Users\Melissa\Documents\PyPEST\PyPEST\experiment\audio\bapa-11k\bp00-11.wav,C:\Users\Melissa\Documents\PyPEST\PyPEST\experiment\audio\bapa-11k\bp40-11.wav
Experiment_level5_ABAA.wav,5,1,C:\Users\Melissa\Documents\PyPEST\PyPEST\experiment\audio\bapa-11k\bp00-11.wav,C:\Users\Melissa\Documents\PyPEST\PyPEST\experiment\audio\bapa-11k\bp40-11.wav
Experiment_level6_AAAB.wav,6,2,C:\Users\Melissa\Documents\PyPEST\PyPEST\experiment\audio\bapa-11k\bp00-11.wav,C:\Users\Melissa\Documents\PyPEST\PyPEST\experiment\audio\bapa-11k\bp50-11.wav
Experiment_level6_ABAA.wav,6,1,C:\Users\Melissa\Documents\PyPEST\PyPEST\experiment\audio\bapa-11k\bp00-11.wav,C:\Users\Melissa\Documents\PyPEST\PyPEST\experiment\audio\bapa-11k\bp50-11.wav
Experiment_level7_AAAB.wav,7,2,C:\Users\Melissa\Documents\PyPEST\PyPEST\experiment\audio\bapa-11k\bp00-11.wav,C:\Users\Melissa\Documents\PyPEST\PyPEST\experiment\audio\bapa-11k\bp60-11.wav
Experiment_level7_ABAA.wav,7,1,C:\Users\Melissa\Documents\PyPEST\PyPEST\experiment\audio\bapa-11k\bp00-11.wav,C:\Users\Melissa\Documents\PyPEST\PyPEST\experiment\audio\bapa-11k\bp60-11.wav
