Trial Number,Level,Base Filename,Comparison Filename,Correct Response,User Response,Reaction Time,Filename,Expected Correct Response,User Correct,Number Correct,Expected Number Correct,Reversals,Wald,Change Level,Next Direction,Step Size,Next Level,Number of Trials at Stimulus Level,Double,Same Direction,Doubled at Last Reversal
1,7,C:\Users\Melissa\Documents\PyPEST\PyPEST\experiment\audio\bapa-11k\bp00-11.wav,C:\Users\Melissa\Documents\PyPEST\PyPEST\experiment\audio\bapa-11k\bp60-11.wav,2,2,3.1862240723567083,Experiment_level7_AAAB.wav,2,True,1,0.69,0,0.5,0,-1,3.5,7,1,False,0,False
2,7,C:\Users\Melissa\Documents\PyPEST\PyPEST\experiment\audio\bapa-11k\bp00-11.wav,C:\Users\Melissa\Documents\PyPEST\PyPEST\experiment\audio\bapa-11k\bp60-11.wav,2,2,3.1129255354644556,Experiment_level7_AAAB.wav,2,True,0,0,0,0.5,1,-1,3.5,4,0,False,1,False
3,4,C:\Users\Melissa\Documents\PyPEST\PyPEST\experiment\audio\bapa-11k\bp00-11.wav,C:\Users\Melissa\Documents\PyPEST\PyPEST\experiment\audio\bapa-11k\bp30-11.wav,2,1,3.277589315392106,Experiment_level4_AAAB.wav,2,False,0,0,1,0.5,1,1,1.75,5,0,False,0,False
4,5,C:\Users\Melissa\Documents\PyPEST\PyPEST\experiment\audio\bapa-11k\bp00-11.wav,C:\Users\Melissa\Documents\PyPEST\PyPEST\experiment\audio\bapa-11k\bp40-11.wav,2,escape,3.8580144454390393,Experiment_level5_AAAB.wav,2,False,0,0,1,0.5,1,1,1.75,6,0,False,1,False
,,,,,,,,,,,,,,,,,,,,,
Experiment Name,Experiment,,,,,,,,,,,,,,,,,,,,
Input File,C:\Users\Melissa\Documents\PyPEST\PyPEST\experiment\csv_input\Experiment_stimuli.csv,,,,,,,,,,,,,,,,,,,,
Screen Width,1600,,,,,,,,,,,,,,,,,,,,
Screen Height,900,,,,,,,,,,,,,,,,,,,,
Calibration File Path,C:\Users\Melissa\Documents\PyPEST\PyPEST\config\PESTtone.wav,,,,,,,,,,,,,,,,,,,,
Participant ID,000,,,,,,,,,,,,,,,,,,,,
Computer ID,Computer,,,,,,,,,,,,,,,,,,,,
Stimulus Directory,C:\Users\Melissa\Documents\PyPEST\PyPEST\experiment\audio\bapa-11k,,,,,,,,,,,,,,,,,,,,
Output Directory,C:\Users\Melissa\Documents\PyPEST\PyPEST\experiment\results,,,,,,,,,,,,,,,,,,,,
Response Box,0,,,,,,,,,,,,,,,,,,,,
Feedback,1,,,,,,,,,,,,,,,,,,,,
Cue Interval,0.75,,,,,,,,,,,,,,,,,,,,
Delay Interval,0.1,,,,,,,,,,,,,,,,,,,,
Response Interval,7.0,,,,,,,,,,,,,,,,,,,,
Anti-Startle Interval,0.25,,,,,,,,,,,,,,,,,,,,
Feedback Interval,0.75,,,,,,,,,,,,,,,,,,,,
Inter-trial Interval,0.5,,,,,,,,,,,,,,,,,,,,
First Comparison,7,,,,,,,,,,,,,,,,,,,,
Maximum Trials,128,,,,,,,,,,,,,,,,,,,,
Maximum Stimulus,7,,,,,,,,,,,,,,,,,,,,
Minimum Stimulus,1,,,,,,,,,,,,,,,,,,,,
Maximum Step Size,7,,,,,,,,,,,,,,,,,,,,
Minimum Step Size,1,,,,,,,,,,,,,,,,,,,,
Experiment Date/Time,2019-06-25 15:16:08.229703,,,,,,,,,,,,,,,,,,,,
Convergence,User ended experiment after 4 trials.,,,,,,,,,,,,,,,,,,,,
Experiment Run Time (seconds),23.720255535914475,,,,,,,,,,,,,,,,,,,,
